创建了新的github文件
再次创建
NO. 	X(m) 	Y(m) 	Z(m) 	T(ms) 	Voltage(nv/(Am^2)) 	Distance(m) 	Resistivity(ohm.m) 	Depth(m)
2 	0.0 	2.0 	0.0 	2.34000E-01 	2.16765E06 	2.0000 	0.0004 	-0.2256
2 	0.0 	2.0 	0.0 	3.13000E-01 	8.32040E05 	2.0000 	0.0005 	-0.2817
2 	0.0 	2.0 	0.0 	4.20500E-01 	2.28708E05 	2.0000 	0.0007 	-0.3927
2 	0.0 	2.0 	0.0 	5.66500E-01 	4.02790E04 	2.0000 	0.0014 	-0.6343
2 	0.0 	2.0 	0.0 	7.64500E-01 	3.94737E03 	2.0000 	0.0041 	-1.2451
2 	0.0 	2.0 	0.0 	1.03300E00 	2.37662E01 	2.0000 	0.0742 	-6.1906
3 	0.0 	3.0 	0.0 	7.50000E-03 	3.58276E07 	3.0000 	0.0207 	-0.2788
3 	0.0 	3.0 	0.0 	1.00000E-02 	3.40038E07 	3.0000 	0.0133 	-0.2578
3 	0.0 	3.0 	0.0 	1.30000E-02 	3.31190E07 	3.0000 	0.0087 	-0.2383
3 	0.0 	3.0 	0.0 	1.65000E-02 	3.12688E07 	3.0000 	0.0061 	-0.2243
3 	0.0 	3.0 	0.0 	2.10000E-02 	2.95077E07 	3.0000 	0.0042 	-0.2110
3 	0.0 	3.0 	0.0 	2.70000E-02 	2.75158E07 	3.0000 	0.0029 	-0.1987
3 	0.0 	3.0 	0.0 	3.50000E-02 	2.49311E07 	3.0000 	0.0020 	-0.1883
3 	0.0 	3.0 	0.0 	4.55000E-02 	2.18745E07 	3.0000 	0.0014 	-0.1802
3 	0.0 	3.0 	0.0 	5.90000E-02 	1.85149E07 	3.0000 	0.0010 	-0.1747
3 	0.0 	3.0 	0.0 	7.65000E-02 	1.49131E07 	3.0000 	0.0008 	-0.1722
3 	0.0 	3.0 	0.0 	1.00000E-01 	1.11613E07 	3.0000 	0.0006 	-0.1735
3 	0.0 	3.0 	0.0 	1.32000E-01 	7.53102E06 	3.0000 	0.0005 	-0.1803
3 	0.0 	3.0 	0.0 	1.75500E-01 	4.41846E06 	3.0000 	0.0004 	-0.1958
3 	0.0 	3.0 	0.0 	2.34000E-01 	2.16336E06 	3.0000 	0.0004 	-0.2258
3 	0.0 	3.0 	0.0 	3.13000E-01 	8.30362E05 	3.0000 	0.0005 	-0.2819
3 	0.0 	3.0 	0.0 	4.20500E-01 	2.28175E05 	3.0000 	0.0007 	-0.3930
3 	0.0 	3.0 	0.0 	5.66500E-01 	3.99758E04 	3.0000 	0.0014 	-0.6359
3 	0.0 	3.0 	0.0 	7.64500E-01 	3.86102E03 	3.0000 	0.0041 	-1.2543
3 	0.0 	3.0 	0.0 	1.03300E00 	6.42193E01 	3.0000 	0.0382 	-4.4446
4 	0.0 	4.0 	0.0 	7.50000E-03 	3.55140E07 	4.0000 	0.0209 	-0.2796
4 	0.0 	4.0 	0.0 	1.00000E-02 	3.41467E07 	4.0000 	0.0133 	-0.2574
4 	0.0 	4.0 	0.0 	1.30000E-02 	3.34146E07 	4.0000 	0.0087 	-0.2376
4 	0.0 	4.0 	0.0 	1.65000E-02 	3.14598E07 	4.0000 	0.0061 	-0.2239
4 	0.0 	4.0 	0.0 	2.10000E-02 	2.96942E07 	4.0000 	0.0042 	-0.2106
4 	0.0 	4.0 	0.0 	2.70000E-02 	2.76855E07 	4.0000 	0.0029 	-0.1983
4 	0.0 	4.0 	0.0 	3.50000E-02 	2.50926E07 	4.0000 	0.0020 	-0.1879
4 	0.0 	4.0 	0.0 	4.55000E-02 	2.20156E07 	4.0000 	0.0014 	-0.1798
4 	0.0 	4.0 	0.0 	5.90000E-02 	1.86359E07 	4.0000 	0.0010 	-0.1743
4 	0.0 	4.0 	0.0 	7.65000E-02 	1.50116E07 	4.0000 	0.0008 	-0.1718
4 	0.0 	4.0 	0.0 	1.00000E-01 	1.12363E07 	4.0000 	0.0006 	-0.1731
4 	0.0 	4.0 	0.0 	1.32000E-01 	7.58288E06 	4.0000 	0.0005 	-0.1799
4 	0.0 	4.0 	0.0 	1.75500E-01 	4.45052E06 	4.0000 	0.0004 	-0.1954
4 	0.0 	4.0 	0.0 	2.34000E-01 	2.18002E06 	4.0000 	0.0004 	-0.2252
4 	0.0 	4.0 	0.0 	3.13000E-01 	8.37304E05 	4.0000 	0.0005 	-0.2812
4 	0.0 	4.0 	0.0 	4.20500E-01 	2.30427E05 	4.0000 	0.0007 	-0.3917
4 	0.0 	4.0 	0.0 	5.66500E-01 	4.03832E04 	4.0000 	0.0014 	-0.6338
4 	0.0 	4.0 	0.0 	7.64500E-01 	3.78427E03 	4.0000 	0.0042 	-1.2627
4 	0.0 	4.0 	0.0 	1.03300E00 	1.14280E02 	4.0000 	0.0260 	-3.6677
5 	0.0 	5.0 	0.0 	7.50000E-03 	3.59732E07 	5.0000 	0.0207 	-0.2784
5 	0.0 	5.0 	0.0 	1.00000E-02 	3.41605E07 	5.0000 	0.0132 	-0.2574
5 	0.0 	5.0 	0.0 	1.30000E-02 	3.32968E07 	5.0000 	0.0087 	-0.2379
5 	0.0 	5.0 	0.0 	1.65000E-02 	3.14196E07 	5.0000 	0.0061 	-0.2240
5 	0.0 	5.0 	0.0 	2.10000E-02 	2.96462E07 	5.0000 	0.0042 	-0.2107
5 	0.0 	5.0 	0.0 	2.70000E-02 	2.76451E07 	5.0000 	0.0029 	-0.1983
5 	0.0 	5.0 	0.0 	3.50000E-02 	2.50482E07 	5.0000 	0.0020 	-0.1880
5 	0.0 	5.0 	0.0 	4.55000E-02 	2.19759E07 	5.0000 	0.0014 	-0.1799
5 	0.0 	5.0 	0.0 	5.90000E-02 	1.85999E07 	5.0000 	0.0010 	-0.1744
5 	0.0 	5.0 	0.0 	7.65000E-02 	1.49808E07 	5.0000 	0.0008 	-0.1719
5 	0.0 	5.0 	0.0 	1.00000E-01 	1.12111E07 	5.0000 	0.0006 	-0.1732
5 	0.0 	5.0 	0.0 	1.32000E-01 	7.56405E06 	5.0000 	0.0005 	-0.1800
5 	0.0 	5.0 	0.0 	1.75500E-01 	4.43741E06 	5.0000 	0.0004 	-0.1956
5 	0.0 	5.0 	0.0 	2.34000E-01 	2.17222E06 	5.0000 	0.0004 	-0.2254
5 	0.0 	5.0 	0.0 	3.13000E-01 	8.33659E05 	5.0000 	0.0005 	-0.2816
5 	0.0 	5.0 	0.0 	4.20500E-01 	2.28905E05 	5.0000 	0.0007 	-0.3926
5 	0.0 	5.0 	0.0 	5.66500E-01 	4.03218E04 	5.0000 	0.0014 	-0.6341
5 	0.0 	5.0 	0.0 	7.64500E-01 	3.87541E03 	5.0000 	0.0041 	-1.2527
